,war_url,start_year,finish_year,winner_list,losser_list,war_name,location,casualties_A,casualties_B,strength_A,strength_B,terror,war_or_battle,death_ratio,army_ratio,side_a_ratio,side_b_ratio,population,population_death_side_a_ratio,population_death_side_b_ratio,population_army_side_a_ratio,population_army_side_b_ratio
14,https://en.wikipedia.org/wiki/Battle_of_Leuctra,-371,-371,"Boeotian League,","Sparta,",Battle of Leuctra,"Boeotia,",1.88483967341285E-05,0.000391341818643,0.000299151148558,1.11482172233334E-05,False,0,0.0694,0.659090909090909,0.023931034482759,0.227272727272727,100000000,99998115.1958521,99960881.1269866,99970093.8316089,99998885.1907058
15,https://en.wikipedia.org/wiki/Battle_of_Leuctra,-371,-371,"Boeotian League, Thebes,","Sparta,",Battle of Leuctra,"Boeotia,",1.88483967341285E-05,0.000391341818643,0.000299151148558,1.11482172233334E-05,False,1,0.0694,0.659090909090909,0.023931034482759,0.227272727272727,100000000,99998115.1958521,99960881.1269866,99970093.8316089,99998885.1907058
16,https://en.wikipedia.org/wiki/Battle_of_Erigon_Valley,-358,-358,"Macedonia,","Kingdom of Dardania,",Battle of Erigon Valley,",",4.35256329207187E-05,0.00011750431482,0.000218684255712,5.32047514104174E-06,False,1,0.532623169107856,1.00952380952381,0.075471698113208,0.143047619047619,100000000,99995647.6261477,99988250.9490822,99978136.3556637,99999467.9553166
17,https://en.wikipedia.org/wiki/Battle_of_Maling,-342,-342,"Qi,","Wei,",Battle of Maling,"Henan Province,",0.000114343308511,0.007828323769244,0.002475883762726,5.06755113467028E-05,False,1,0.021,1.2,0.0175,1,100000000,99988566.9764386,99223248.2869735,99753023.1097996,99994932.7056531
18,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),-339,-338,"Macedonia,","Athens,Thebes,Corinth,Megara,Achaea,Chalcis,Epidaurus,Troezen,",Battle of Chaeronea (338 BC),"Cameroon,Boeotia,Greece,",0.00020695103813,0.000469625839175,0.000660220539533,1.77360995772283E-05,False,0,0.633333333333333,0.914285714285714,0.11875,0.171428571428571,100000000,99979309.1781741,99953059.4605727,99934021.5064033,99998226.4214986
19,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),-338,-338,"Macedonia, Thessaly, Argos,Saudi Arabia,","Athens, Thebes, Corinth, Megara, Achaea, Chalcis, Epidaurus,Tanzania, Troezen,",Battle of Chaeronea (338 BC),"Cameroon, Boeotia,Greece,",0.00020695103813,0.000469625839175,0.000660220539533,1.77360995772283E-05,False,1,0.633333333333333,0.914285714285714,0.11875,0.171428571428571,100000000,99979309.1781741,99953059.4605727,99934021.5064033,99998226.4214986
20,https://en.wikipedia.org/wiki/Siege_of_Pelium,-335,-335,"Hellenic League,","Iran,",Siege of Pelium,"Pelion (Chaonia),Albania,",0.000108895795004,0.000391341818643,0.000309467416871,3.5468145073008E-06,False,1,0.4,2.14285714285714,0.133333333333333,0.714285714285714,100000000,99989111.6061999,99960881.1269866,99969062.8323582,99999645.3198073
21,https://en.wikipedia.org/wiki/Battle_of_the_Granicus,-334,-334,"Macedonia, Hellenic League,","Achaemenid Empire,",Battle of the Granicus,"Troad, Hellespontine Phrygia, Achaemenid Empire, Biga Çayı,Turkey,",0.000595794552258,0.000470800099483,0.000765446476332,1.52022986718841E-05,False,1,1.81845386533666,1.23666666666667,0.294824797843666,0.2005,100000000,99940456.0207527,99952942.1448945,99923513.8983838,99998479.7932435
22,https://en.wikipedia.org/wiki/Battle_of_Issus,-333,-333,"Macedonia, League of Corinth,","Achaemenid Empire,",Battle of Issus,"Issus,Angola,",0.000297652138021,0.004697510936082,0.000842818488684,0.000304055601881,False,1,0.091072708184045,0.068083333333333,0.133782129742962,0.100011666666667,100000000,99970243.6432411,99532445.2499434,99915789.1256135,99969603.6819826
23,https://en.wikipedia.org/wiki/Battle_of_Megalopolis,-332,-331,"Macedonia,","Sparta,Thailand,",Battle of Megalopolis,"Megalopolis,",0.000245083632679,0.000414827024802,0.000825280832551,1.11482172233334E-05,False,0,0.849056603773585,1.81818181818182,0.1125,0.240909090909091,100000000,99975497.6418591,99958534.4985304,99917539.9694276,99998885.1907058
24,https://en.wikipedia.org/wiki/Battle_of_the_Hydaspes,-326,-326,"Macedonia, Hellenic League, Persian,India,","Peru,",Battle of the Hydaspes,"Hydaspes River, Punjab,Pakistan,",0.000129977672276,0.003447080276114,0.001073304555346,5.44883749490647E-05,False,1,0.054208111913521,0.48380826606153,0.045885315545645,0.409527175328299,100000000,99987003.9219723,99656476.1267564,99892784.619222,99994551.4593872
25,https://en.wikipedia.org/wiki/Battle_of_the_Himera_River_(311_BC),-311,-311,"Carthage,","Syria,",Battle of the Himera River (311 BC),"Salso,Latvia, Sicily,Italy,",2.7183092399798E-05,0.000547909859708,0.000928443515687,2.02699004825725E-05,False,1,0.071428571428572,1.125,0.011111111111111,0.175,100000000,99997281.7646501,99945239.0181111,99907241.7692092,99997973.0510378
26,https://en.wikipedia.org/wiki/Battle_of_Salamis_in_Cyprus_(306_BC),-306,-306,"Antigonids, Athens,","Ptolemaic dynasty,",Battle of Salamis (306 BC),"Malawi,Cyprus,",1.03502756632498E-06,1.71442004966495E-05,4.3122001550824E-06,2.02197312246466E-07,False,1,0.090909090909091,0.525,0.095238095238095,0.55,100000000,99999896.4973505,99998285.6093422,99999568.781844,99999979.7802729
27,https://en.wikipedia.org/wiki/Siege_of_Rhodes_(305%E2%80%93304_BC),-305,-304,"Rhodes,Ptolemaic Kingdom,Seleucid Empire,","Antigonid dynasty,",Siege of Rhodes (305–304 BC),"Rhodes,",7.07632004555865E-05,0.000422655426856,0.000828808996314,3.54782802766294E-06,False,0,0.240740740740741,5.73707512139389,0.032361653929452,0.77120822622108,100000000,99992924.1806621,99957752.3135284,99917187.7359181,99999645.2184559
28,https://en.wikipedia.org/wiki/Siege_of_Rhodes_(305_BC),-305,-305,"Antigonid dynasty,","Rhodes, Ptolemaic Kingdom, Seleucid Empire,",Siege of Rhodes (305–304 BC),"Rhodes,",7.07632004555865E-05,0.000422655426856,0.000828808996314,3.54782802766294E-06,False,1,0.240740740740741,5.73707512139389,0.032361653929452,0.77120822622108,100000000,99992924.1806621,99957752.3135284,99917187.7359181,99999645.2184559
29,https://en.wikipedia.org/wiki/Battle_of_Tifernum,-297,-297,"Roman Republic,","Samnium,",Battle of Tifernum,"Città di Castello,Peru,Zambia,Italy,",0.000108895795004,0.000331063122833,0.000412630100007,1.26684977665399E-05,False,1,0.472813238770686,0.8,0.1,0.1692,100000000,99989111.6061999,99966904.6443685,99958754.0093365,99998733.1662722
30,https://en.wikipedia.org/wiki/Battle_of_Sentinum,-295,-295,"Roman Republic,","Samnium,Senegal,",Battle of Sentinum,"Benin, Sassoferrato, Marche,Italy,",0.000473879199972,0.002583294393557,0.002104580633583,2.02704072427535E-05,False,1,0.263636363636364,2.55003624909377,0.085290772910866,0.824979375515612,100000000,99952634.525516,99742336.1821404,99789983.9323903,99997973.0003638
31,https://en.wikipedia.org/wiki/Battle_of_Tifernum,-293,-293,"Roman Republic,","Samnium,",Battle of Tifernum,"Città di Castello,Peru,Zambia,Italy,",0.000108895795004,0.000331063122833,0.000412630100007,1.26684977665399E-05,False,1,0.472813238770686,0.8,0.1,0.1692,100000000,99989111.6061999,99966904.6443685,99958754.0093365,99998733.1662722
32,https://en.wikipedia.org/wiki/Battle_of_Heraclea,-280,-280,"Cyprus, Magna Graecia,","Roman Republic,",Battle of Heraclea,"Heraclea, Basilicata,Italy,",0.000817072550911,0.001863081404656,0.001465302118726,4.69259927669744E-05,False,1,0.630252100840336,0.766946361270397,0.211208110391439,0.25701666288701,100000000,99918359.4511604,99814038.3212799,99853684.1850011,99995307.6209179
33,https://en.wikipedia.org/wiki/Battle_of_Sentinum,-279,-279,"Roman Republic,","Samnium,Senegal,",Battle of Sentinum,"Benin, Sassoferrato, Marche,Italy,",0.000473879199972,0.002583294393557,0.002104580633583,2.02704072427535E-05,False,1,0.263636363636364,2.55003624909377,0.085290772910866,0.824979375515612,100000000,99952634.525516,99742336.1821404,99789983.9323903,99997973.0003638
34,https://en.wikipedia.org/wiki/Battle_of_Asculum,-279,-279,"Roman Republic, Frentani,Mali,Mauritania, Paeligni, Dauni, Umbrians,","Cyprus, Aetolians,Tanzania,Afghanistan,Palestine,Brunei,Lithuania, Samnites,",Battle of Asculum,"Asculum, Ascoli Satriano,Australia,Italy,",0.000326796335283,0.000274307207946,0.000831470593539,2.02795289260128E-05,False,1,1.71184022824536,1.00702166470926,0.148883374689826,0.087583397886004,100000000,99967331.0425672,99972576.8015864,99916922.0175455,99997972.0882325
