,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,label
87,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
89,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
90,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
91,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
92,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
94,Afghanistan,0.0,5529.0,1885.0,6,12.6,386.0,516.0,173.0,2,25.3,1
97,Afghanistan,0.0,5529.0,1885.0,6,12.6,252.8,2881.0,779.0,3,21.9,1
98,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
99,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
100,Afghanistan,0.0,5529.0,1885.0,6,12.6,1771.0,360.0,470.0,1,24.9,1
101,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
102,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
103,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,2027.0,473.0,8,10.55,1
104,Afghanistan,0.0,5529.0,1885.0,6,12.6,2440.0,5440.0,1305.0,7,17.25,1
105,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
108,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
110,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
112,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
113,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5667.0,1138.0,8,21.4,1
114,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
115,Afghanistan,0.0,5529.0,1885.0,6,12.6,2798.0,4862.0,1034.0,6,17.75,1
116,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
119,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
120,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1
122,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
123,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
124,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
125,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
127,Afghanistan,0.0,5529.0,1885.0,6,12.6,58.0,3650.0,312.0,6,21.4,1
128,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1
129,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1
130,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1
132,Afghanistan,0.0,5529.0,1885.0,6,12.6,2254.0,2027.0,442.0,3,22.35,0
133,Afghanistan,0.0,5529.0,1885.0,6,12.6,13676.0,1228.0,498.0,4,15.4,0
134,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,0
135,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
136,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
137,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,0
138,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
139,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
140,Afghanistan,0.0,5529.0,1885.0,6,12.6,2254.0,2027.0,442.0,3,22.35,0
141,Afghanistan,0.0,5529.0,1885.0,6,12.6,13676.0,1228.0,498.0,4,15.4,0
142,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,0
143,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
144,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
145,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,0
146,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
147,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
150,Afghanistan,0.0,5529.0,1885.0,6,12.6,25760.0,1.0,330.0,0,21.65,0
151,Afghanistan,0.0,5529.0,1885.0,6,12.6,7600.0,1932.0,538.0,6,13.45,0
154,Afghanistan,0.0,5529.0,1885.0,6,12.6,459.0,2462.0,207.0,3,26.0,0
155,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
156,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
157,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
158,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
161,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3736.0,230.0,4,15.1,0
163,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
164,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
167,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
168,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
170,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
172,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
174,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
176,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
178,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
179,Afghanistan,0.0,5529.0,1885.0,6,12.6,1566.3,2027.0,1150.0,3,22.35,0
180,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
182,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
183,Afghanistan,0.0,5529.0,1885.0,6,12.6,2254.0,2027.0,442.0,3,22.35,0
184,Afghanistan,0.0,5529.0,1885.0,6,12.6,13676.0,1228.0,498.0,4,15.4,0
185,Afghanistan,0.0,5529.0,1885.0,6,12.6,3542.0,1.0,442.0,0,24.85,0
186,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
187,Afghanistan,0.0,5529.0,1885.0,6,12.6,1046.0,6774.0,900.0,4,20.2,0
188,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,3651.0,3186.0,4,2.0,0
189,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,0
