,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,label
17305,Estonia,3794.0,633.0,61.0,2,5.1,58.0,3650.0,312.0,6,21.4,1
17306,Estonia,3794.0,633.0,61.0,2,5.1,193.0,2253.0,514.0,5,17.75,1
17307,Estonia,3794.0,633.0,61.0,2,5.1,1770.0,4348.0,423.0,6,21.8,1
17308,Estonia,3794.0,633.0,61.0,2,5.1,853.0,4047.0,380.0,4,26.8,1
17309,Estonia,3794.0,633.0,61.0,2,5.1,0.0,5529.0,1885.0,6,12.6,1
17311,Estonia,3794.0,633.0,61.0,2,5.1,2798.0,4862.0,1034.0,6,17.75,1
17312,Estonia,3794.0,633.0,61.0,2,5.1,0.0,5529.0,1885.0,6,12.6,1
17313,Estonia,3794.0,633.0,61.0,2,5.1,37653.0,20017.0,600.0,17,-5.1,1
17314,Estonia,3794.0,633.0,61.0,2,5.1,2782.0,4663.0,175.0,7,8.3,1
17315,Estonia,3794.0,633.0,61.0,2,5.1,0.0,8220.0,1528.0,2,-0.7,1
17317,Estonia,3794.0,633.0,61.0,2,5.1,0.0,2027.0,473.0,8,10.55,1
17318,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,1
17319,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,1
17320,Estonia,3794.0,633.0,61.0,2,5.1,37653.0,20017.0,600.0,17,-5.1,1
17321,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,1
17322,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,1
17323,Estonia,3794.0,633.0,61.0,2,5.1,225.0,454.0,1250.0,2,16.4,1
17325,Estonia,3794.0,633.0,61.0,2,5.1,193.0,2253.0,514.0,5,17.75,1
17326,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,1
17328,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,1
17332,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,1
17334,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,1
17336,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,1
17337,Estonia,3794.0,633.0,61.0,2,5.1,161.0,381.0,442.0,1,26.85,1
17339,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,1
17342,Estonia,3794.0,633.0,61.0,2,5.1,25760.0,1.0,330.0,0,21.65,0
17343,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17345,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17347,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17352,Estonia,3794.0,633.0,61.0,2,5.1,25760.0,1.0,330.0,0,21.65,0
17353,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17355,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17357,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17360,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17361,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17362,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17363,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17364,Estonia,3794.0,633.0,61.0,2,5.1,37653.0,20017.0,600.0,17,-5.1,0
17367,Estonia,3794.0,633.0,61.0,2,5.1,1288.0,2027.0,442.0,3,22.35,0
17369,Estonia,3794.0,633.0,61.0,2,5.1,1424.0,3861.0,1018.0,8,22.35,0
17372,Estonia,3794.0,633.0,61.0,2,5.1,25760.0,1.0,330.0,0,21.65,0
17373,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17375,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17377,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17382,Estonia,3794.0,633.0,61.0,2,5.1,25760.0,1.0,330.0,0,21.65,0
17383,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17385,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17387,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17392,Estonia,3794.0,633.0,61.0,2,5.1,25760.0,1.0,330.0,0,21.65,0
17393,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17395,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17397,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17400,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17401,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17402,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17403,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17404,Estonia,3794.0,633.0,61.0,2,5.1,37653.0,20017.0,600.0,17,-5.1,0
17407,Estonia,3794.0,633.0,61.0,2,5.1,1288.0,2027.0,442.0,3,22.35,0
17409,Estonia,3794.0,633.0,61.0,2,5.1,1424.0,3861.0,1018.0,8,22.35,0
17412,Estonia,3794.0,633.0,61.0,2,5.1,25760.0,1.0,330.0,0,21.65,0
17413,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17415,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17417,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17420,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17421,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17422,Estonia,3794.0,633.0,61.0,2,5.1,3794.0,633.0,61.0,2,5.1,0
17423,Estonia,3794.0,633.0,61.0,2,5.1,498.0,1150.0,87.0,4,5.6,0
17424,Estonia,3794.0,633.0,61.0,2,5.1,37653.0,20017.0,600.0,17,-5.1,0
17427,Estonia,3794.0,633.0,61.0,2,5.1,1288.0,2027.0,442.0,3,22.35,0
17429,Estonia,3794.0,633.0,61.0,2,5.1,1424.0,3861.0,1018.0,8,22.35,0
17430,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17431,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17432,Ethiopia,0.0,5328.0,1330.0,6,22.2,536.0,3477.0,762.0,5,24.75,1
17434,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17436,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17440,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17442,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17443,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17445,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17447,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17449,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17450,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17453,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17454,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17455,Ethiopia,0.0,5328.0,1330.0,6,22.2,536.0,3477.0,762.0,5,24.75,1
17457,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17459,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17463,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17465,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17466,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17468,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17470,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17472,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17473,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17476,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17477,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17478,Ethiopia,0.0,5328.0,1330.0,6,22.2,2450.0,2665.0,321.0,4,22.1,1
17479,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17480,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17481,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,2698.0,1100.0,5,22.8,1
17482,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17483,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17487,Ethiopia,0.0,5328.0,1330.0,6,22.2,362.0,1102.0,708.0,6,11.4,1
17489,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17490,Ethiopia,0.0,5328.0,1330.0,6,22.2,14500.0,22147.0,1840.0,13,6.95,1
17491,Ethiopia,0.0,5328.0,1330.0,6,22.2,29751.0,1.0,438.0,0,11.15,1
17494,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17495,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17496,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5213.0,442.0,6,24.9,1
17497,Ethiopia,0.0,5328.0,1330.0,6,22.2,25760.0,1.0,330.0,0,21.65,1
17498,Ethiopia,0.0,5328.0,1330.0,6,22.2,2495.0,1673.0,400.0,3,5.7,1
17499,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17504,Ethiopia,0.0,5328.0,1330.0,6,22.2,2495.0,1673.0,400.0,3,5.7,1
17505,Ethiopia,0.0,5328.0,1330.0,6,22.2,2640.0,4431.0,665.0,7,24.65,1
17506,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17509,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17510,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17511,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17513,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17514,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17515,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17516,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17518,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17519,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17521,Ethiopia,0.0,5328.0,1330.0,6,22.2,314.0,528.0,442.0,3,28.0,1
17522,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17524,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17526,Ethiopia,0.0,5328.0,1330.0,6,22.2,7000.0,14209.0,621.0,7,23.65,1
17528,Ethiopia,0.0,5328.0,1330.0,6,22.2,2413.0,704.0,282.0,3,11.5,1
17530,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17531,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17533,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17535,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17536,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17537,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17538,Ethiopia,0.0,5328.0,1330.0,6,22.2,536.0,3477.0,762.0,5,24.75,1
17540,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17542,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17546,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17548,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17549,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17551,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17553,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17555,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17556,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17559,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17560,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17561,Ethiopia,0.0,5328.0,1330.0,6,22.2,536.0,3477.0,762.0,5,24.75,1
17563,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17565,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17569,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17571,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17572,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17574,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17576,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17578,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17579,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17582,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17583,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17584,Ethiopia,0.0,5328.0,1330.0,6,22.2,536.0,3477.0,762.0,5,24.75,1
17586,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17588,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17592,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17594,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17595,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17597,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17599,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17601,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17602,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17605,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17606,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17607,Ethiopia,0.0,5328.0,1330.0,6,22.2,2450.0,2665.0,321.0,4,22.1,1
17608,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17609,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17610,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,2698.0,1100.0,5,22.8,1
17611,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17612,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17616,Ethiopia,0.0,5328.0,1330.0,6,22.2,362.0,1102.0,708.0,6,11.4,1
17618,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17619,Ethiopia,0.0,5328.0,1330.0,6,22.2,14500.0,22147.0,1840.0,13,6.95,1
17620,Ethiopia,0.0,5328.0,1330.0,6,22.2,29751.0,1.0,438.0,0,11.15,1
17623,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17624,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17625,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5213.0,442.0,6,24.9,1
17626,Ethiopia,0.0,5328.0,1330.0,6,22.2,25760.0,1.0,330.0,0,21.65,1
17627,Ethiopia,0.0,5328.0,1330.0,6,22.2,2495.0,1673.0,400.0,3,5.7,1
17628,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17633,Ethiopia,0.0,5328.0,1330.0,6,22.2,2495.0,1673.0,400.0,3,5.7,1
17634,Ethiopia,0.0,5328.0,1330.0,6,22.2,2640.0,4431.0,665.0,7,24.65,1
17635,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17638,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17639,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17640,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17642,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17643,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17644,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17645,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17647,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17648,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17650,Ethiopia,0.0,5328.0,1330.0,6,22.2,314.0,528.0,442.0,3,28.0,1
17651,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17653,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17655,Ethiopia,0.0,5328.0,1330.0,6,22.2,7000.0,14209.0,621.0,7,23.65,1
17657,Ethiopia,0.0,5328.0,1330.0,6,22.2,2413.0,704.0,282.0,3,11.5,1
17659,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17660,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17662,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17664,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17665,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17666,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17667,Ethiopia,0.0,5328.0,1330.0,6,22.2,536.0,3477.0,762.0,5,24.75,1
17669,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17671,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17675,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17677,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17678,Ethiopia,0.0,5328.0,1330.0,6,22.2,3025.0,2340.0,410.0,3,27.05,1
17680,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17682,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17684,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17685,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17688,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17689,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,1
17690,Ethiopia,0.0,5328.0,1330.0,6,22.2,2450.0,2665.0,321.0,4,22.1,1
17691,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17692,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17693,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,2698.0,1100.0,5,22.8,1
17694,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17695,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17699,Ethiopia,0.0,5328.0,1330.0,6,22.2,362.0,1102.0,708.0,6,11.4,1
17701,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17702,Ethiopia,0.0,5328.0,1330.0,6,22.2,14500.0,22147.0,1840.0,13,6.95,1
17703,Ethiopia,0.0,5328.0,1330.0,6,22.2,29751.0,1.0,438.0,0,11.15,1
17706,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17707,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17708,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5213.0,442.0,6,24.9,1
17709,Ethiopia,0.0,5328.0,1330.0,6,22.2,25760.0,1.0,330.0,0,21.65,1
17710,Ethiopia,0.0,5328.0,1330.0,6,22.2,2495.0,1673.0,400.0,3,5.7,1
17711,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17716,Ethiopia,0.0,5328.0,1330.0,6,22.2,2495.0,1673.0,400.0,3,5.7,1
17717,Ethiopia,0.0,5328.0,1330.0,6,22.2,2640.0,4431.0,665.0,7,24.65,1
17718,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17721,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17722,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17723,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17725,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17726,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17727,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17728,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17730,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17731,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17733,Ethiopia,0.0,5328.0,1330.0,6,22.2,314.0,528.0,442.0,3,28.0,1
17734,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,1
17736,Ethiopia,0.0,5328.0,1330.0,6,22.2,2798.0,4862.0,1034.0,6,17.75,1
17738,Ethiopia,0.0,5328.0,1330.0,6,22.2,7000.0,14209.0,621.0,7,23.65,1
17740,Ethiopia,0.0,5328.0,1330.0,6,22.2,2413.0,704.0,282.0,3,11.5,1
17742,Ethiopia,0.0,5328.0,1330.0,6,22.2,2092.0,1374.0,310.0,3,25.6,1
17743,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17745,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17747,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,1
17748,Ethiopia,0.0,5328.0,1330.0,6,22.2,2413.0,704.0,282.0,3,11.5,0
17750,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,0
17751,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,4797.0,442.0,6,22.35,0
17752,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,4797.0,442.0,6,22.35,0
17754,Ethiopia,0.0,5328.0,1330.0,6,22.2,2413.0,704.0,282.0,3,11.5,0
17756,Ethiopia,0.0,5328.0,1330.0,6,22.2,853.0,6764.0,568.0,7,26.9,0
17757,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,4797.0,442.0,6,22.35,0
17758,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,4797.0,442.0,6,22.35,0
17761,Ethiopia,0.0,5328.0,1330.0,6,22.2,252.8,2881.0,779.0,3,21.9,0
17762,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,0
17763,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,0
17764,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,0
17765,Ethiopia,0.0,5328.0,1330.0,6,22.2,0.0,5328.0,1330.0,6,22.2,0
17766,Ethiopia,0.0,5328.0,1330.0,6,22.2,2234.0,1626.0,853.0,3,25.5,0
