,name,coast_length,border_length,sea_level,number_of_borders,avg_temp,location_coast_length,location_border_length,location_sea_level,location_number_of_borders,location_avg_temp,start_year,finish_year,wars_victory,wars_loses,total_wars_participate,wars_inside_country,imperialism_wars,deimperialism_wars,battles_in_country,label
46,Afghanistan,0.0,5529.0,1885.0,6,12.6,499.0,462.0,108.0,2,25.35,1991,1991,8.0,13.0,21.0,18.0,3,12,8,1
47,Afghanistan,0.0,5529.0,1885.0,6,12.6,2640.0,4431.0,665.0,7,24.65,1991,1991,8.0,13.0,21.0,18.0,3,12,8,1
48,Afghanistan,0.0,5529.0,1885.0,6,12.6,273.0,1017.0,508.0,5,19.2,1991,1991,8.0,13.0,21.0,18.0,3,12,8,1
50,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1996,1996,8.0,13.0,21.0,18.0,3,12,8,1
51,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,2001,2001,8.0,13.0,21.0,18.0,3,12,8,1
52,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,2002,2002,8.0,13.0,21.0,18.0,3,12,8,1
53,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1996,1996,8.0,13.0,21.0,18.0,3,12,8,1
54,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,2001,2001,8.0,13.0,21.0,18.0,3,12,8,1
55,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,2002,2002,8.0,13.0,21.0,18.0,3,12,8,1
56,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,1996,1996,8.0,13.0,21.0,18.0,3,12,8,1
57,Afghanistan,0.0,5529.0,1885.0,6,12.6,1250.0,2690.0,164.0,3,1.7,2001,2001,8.0,13.0,21.0,18.0,3,12,8,1
58,Afghanistan,0.0,5529.0,1885.0,6,12.6,0.0,5529.0,1885.0,6,12.6,2002,2002,8.0,13.0,21.0,18.0,3,12,8,1
