https://en.wikipedia.org/wiki/Byzantine%E2%80%93Norman_wars,1040,1185,"Byzantine Empire,Republic of Venice,Holy Roman Empire","Kingdom of Sicily,Kingdom of France,Lombard duchies,Papal States,Serbs,Duklja,Raška",Byzantine–Norman wars,"Apulia,Calabria,Balkans",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Rus%27%E2%80%93Byzantine_War_(1043),1043,1043,Byzantine Empire,,Rus'–Byzantine War (1043),,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Vata_pagan_uprising,1046,1046,Peter Orseolo,Hungarian pagans,Vata pagan uprising,Kingdom of Hungary,-1,-1,unknown,unknown,False,0
https://en.wikipedia.org/wiki/Byzantine%E2%80%93Seljuq_wars,1048,1308,"Great Seljuq Empire,Sultanate of Rum","Byzantine Empire,Empire of Nicaea,Empire of Trebizond,Crusader States",Byzantine–Seljuq wars,Asia Minor,-1,-1,175000,unknown,False,0
https://en.wikipedia.org/wiki/Former_Nine_Years_War,1051,1063,Japan,Abe clan,Former Nine Years War,"Mutsu province,Tohoku region,Japan",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Norman_conquest_of_Sicily,1061,1091,"County of Apulia,County of Sicily","Emirate of Sicily,Zirids",Norman conquest of Sicily,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Crusade_of_Barbastro,1064,1064,"Kingdom of Aragon,County of Urgell,Duchy of Aquitaine,Papal states",Taifa of Lérida,Crusade of Barbastro,"Emirate of Lārida,Barbastro",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Breton%E2%80%93Norman_War,1064,1066,"Kingdom of England,Duchy of Normandy",Duchy of Brittany,Breton–Norman War,"Château de Dinan,Brittany",-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/War_of_the_Three_Sanchos,1065,1067,Kingdom of Castile,"Kingdom of Navarre,Kingdom of Aragon",War of the Three Sanchos,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Stamford_Bridge,1066,1066,Kingdom of England,"Norway,Earldom of Orkney",Battle of Stamford Bridge,"Stamford Bridge, East Riding of Yorkshire",unknown,8003,12500,12300,False,0
