https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,c. 1760 BC,c. 1760 BC,Babylon,Mari,Hammurabi,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,c. 1760 BC,c. 1760 BC,Babylon,Assyria,Hammurabi,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Babylonia#First_Babylonian_Dynasty_.E2.80.94_Amorite_Dynasty_1894.E2.80.931595_BC,c. 1740 BC,c. 1595 BC,"Hittite Empire,Kassites,Assyria,Sealand Dynasty","Babylon,Amorites",Babylonia,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Kassites#History,c. 1740 BC,c. 1570 BC,Kassites,Babylon,Kassites,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Puzur-Sin,c. 1732 BC,c. 1732 BC,Assyria,"Amorites,Babylon",Puzur-Sin,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Assyria#Assyrian_Adaside_dynasty.2C_1732.E2.80.931451_BC,c. 1732 BC,c. 1726 or 1720 BC,Adasi,"Amorites,Babylon",Assyria,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Sealand_Dynasty,c. 1732 BC,c. 1732 BC,,Babylon,Sealand Dynasty,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Abi-Eshuh#Biography,c. 1700 BC,c. 1700 BC,Sealand Dynasty,Babylon,Abi-Eshuh,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Mingtiao,c. 1675 BC,c. 1675 BC,Shang,Xia Dynasty,Battle of Mingtiao,,-1,-1,unknown,6000,False,0
https://en.wikipedia.org/wiki/Babylonia#The_sack_of_Babylon_and_ancient_Near_East_chronology,c. 1595 BC,c. 1595 BC,Hittite Empire,Babylon,Babylonia,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Hattusili_I,c. 1650 BC,c. 1620 BC,Hittite Empire,"Alalakh,Arzawa,Hurrians",Hattusili I,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Hyksos,c. 1650 BC,c. 1580 BC,Hyksos,Ancient Egypt,Hyksos,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Mursili_I,c. 1600 BC,c. 1595 BC,Hittite Empire,"Yamhad,Babylon",Mursili I,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ahmose_I#Conquest_of_the_Hyksos,c. 1523 BC,c. 1517 BC,Egypt,Hyksos,Ahmose I,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_I,c. 1506 BC,c. 1502 BC,Egyptian Empire,Nubia,Thutmose I,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_II,c. 1493 BC,before c. 1479 BC,Egyptian Empire,"Nubia,Shasu",Thutmose II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Thutmose.27s_military_campaigns,c. 1457 BC,c. 1428 BC,Egyptian Empire,,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),c. 1457 BC,c. 1456 BC,Egyptian Empire,"Canaan,Kadesh,Tel Megiddo,Mitanni",Battle of Megiddo (15th century BC),"Megiddo,Canaan",5000,11701,30000,25000,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,c. 1456 BC,c. 1455 BC,Egyptian Empire,"Canaan,Retjenu",Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,c. 1455 BC,c. 1454 BC,Egyptian Empire,"Canaan,Retjenu",Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,c. 1454 BC,c. 1453 BC,Egyptian Empire,"Canaan,Retjenu",Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,c. 1450 BC,c. 1449 BC,Egyptian Empire,"Canaan,Retjenu,Kadesh,Tunip,Phoenicia",Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,c. 1449 BC,c. 1448 BC,Egyptian Empire,"Byblos,Retjenu,Kadesh",Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,c. 1448 BC,c. 1447 BC,Egyptian Empire,"Retjenu,Phoenicia",Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Attack_on_Mitanni,c. 1447 BC,c. 1446 BC,Egyptian Empire,Mitanni,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1445 BC,c. 1444 BC,Egyptian Empire,Nuhašše,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1444 BC,c. 1443 BC,Egyptian Empire,Mitanni,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1443 BC,c. 1442 BC,Egyptian Empire,,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1442 BC,c. 1441 BC,Egyptian Empire,,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1441 BC,c. 1440 BC,Egyptian Empire,Nuhašše,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1440 BC,c. 1439 BC,Egyptian Empire,Shasu,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1439 BC,c. 1438 BC,Egyptian Empire,,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1438 BC,c. 1437 BC,Egyptian Empire,,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,c. 1437 BC,c. 1436 BC,Egyptian Empire,"Mitanni,Tunip,Kadesh",Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Thutmose_III#Nubian_Campaign,c. 1429 BC,c. 1428 BC,Egyptian Empire,Nubia,Thutmose III,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Kaskians#Early_history,c. 1430 BC,c. 1200 BC,Hittite Empire,"Kaska,Mushki",Kaskians,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_the_Ten_Kings,c. 1400 BC,c. 1400 BC,"Trtsu,Bharata","Alina,Anu,Bhrigus,Bhalanas,Dasa,Druhyus,Matsya Kingdom,Persians,Puru,Panis",Battle of the Ten Kings,"Ravi,Punjab",unknown,6673,unknown,6666,False,0
https://en.wikipedia.org/wiki/Mycenaean_Greece#Involvement_in_Asia_Minor,c. 1315 BC,c. 1315 BC,"Arzawa,Ahhiyawa",Hittite Empire,Mycenaean Greece,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#Campaigns_and_battles,c. 1279 BC,c. 1213 BC,Egypt,,Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#Battle_against_Sherden_sea_pirates,c. 1278 BC,c. 1278 BC,Egypt,Shardana,Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#First_Syrian_campaign,c. 1276 BC,c. 1275 BC,Egypt,"Canaan,Amurru kingdom",Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#Second_Syrian_campaign,c. 1274 BC,c. 1274 BC,,,Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#Third_Syrian_campaign,c. 1270 BC,c. 1270 BC,Egypt,Hittite Empire,Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#Later_campaigns_in_Syria,c. 1270 BC,c. 1269 BC,,,Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#Campaigns_in_Nubia,c. 1260 BC,c. 1260 BC,Egypt,Nubia,Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Mycenaean_Greece#Involvement_in_Asia_Minor,c. 1260 BC,c. 1255 BC,Ahhiyawa,Hittite Empire,Mycenaean Greece,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Ramesses_II#Campaigns_in_Libya,c. 1250 BC,c. 1250 BC,Egypt,Libya,Ramesses II,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Battle_of_Nihriya,c. 1237 BC,c. 1237 BC,Assyria,Hittite Empire,Battle of Nihriya,,-1,-1,-1,-1,False,0
https://en.wikipedia.org/wiki/Late_Bronze_Age_collapse,c. 1206 BC,c. 1150 BC,,,Late Bronze Age collapse,,-1,-1,-1,-1,False,0
