https://en.wikipedia.org/wiki/Siege_of_Villa_di_Chiesa,1324,1324,"['Crown of Aragon', 'Giudicato of Arborea']",['Republic of Pisa'],Siege of Villa di Chiesa,"['Iglesias', 'Sardinia']",unknown,unknown,1000,1250,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1324,1324,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Zappolino,1325,1325,['Modena'],['Bologna'],Battle of Zappolino,"['Zappolino', 'Metropolitan City of Bologna', 'Italy']",500,2500,7000,32000,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1325,1325,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Siege_of_Bursa,1326,1326,['Byzantine Empire'],['Ottoman Beylik'],Siege of Bursa,"['Bursa', 'Turkey']",-1,-1,12000,10000,False,1
https://en.wikipedia.org/wiki/Battle_of_Cassel_(1328),1328,1328,['Kingdom of France'],non-state,Battle of Cassel (1328),"['Cassel, France']",17,3185,29000,15000,False,1
https://en.wikipedia.org/wiki/Siege_of_Medv%C4%97galis,1329,1329,['Grand Duchy of Lithuania'],['Teutonic Order'],Siege of Medvėgalis,['Medvėgalis'],-1,-1,9001,18352,False,1
https://en.wikipedia.org/wiki/Battle_of_Pelekanon,1329,1329,['Byzantine Empire'],['Ottoman Beylik'],Battle of Pelekanon,"['Nicomedia', 'Bithynia', 'Maltepe', '[1]', '[2]', 'Turkey']",-1,-1,6009,8005,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1329,1329,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Battle_of_Posada,1330,1330,['Kingdom of Hungary'],['Wallachia'],Battle of Posada,['Romania'],2,2,30002,17002,False,1
https://en.wikipedia.org/wiki/Battle_of_Bapheus,1330,1330,['Byzantine Empire'],['Ottoman Beylik'],Battle of Bapheus,[],-1,-1,2003,5002,False,1
https://en.wikipedia.org/wiki/Siege_of_Nicaea_(1328%E2%80%931331),1331,1331,['Byzantine Empire'],['Ottoman'],Siege of Nicaea (1328–1331),['Nicaea'],unknown,unknown,7000,1200,False,1
https://en.wikipedia.org/wiki/Battle_of_Rusokastro,1332,1332,['Bulgarian Empire'],['Byzantine Empire'],Battle of Rusokastro,"['Burgas Province', 'Bulgaria']",unknown,unknown,11000,3000,False,1
