https://en.wikipedia.org/wiki/Battle_of_the_Frigidus,394,394,"['Eastern Roman Empire', 'Visigoths']",['Western Roman Empire'],Battle of the Frigidus,"['Vipava', 'Slovenia']",10002,unknown,70001,85000,False,1
https://en.wikipedia.org/wiki/Battle_of_Canhe_Slope,395,395,['Later Yan'],['Northern Wei'],Battle of Canhe Slope,"['Liangcheng County', 'Inner Mongolia']",60006,unknown,98002,50005,False,1
https://en.wikipedia.org/wiki/Battle_of_Pollentia,402,402,['Western Roman Empire'],['Visigoths'],Battle of Pollentia,"['Pollentia', 'Province of Cuneo', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),403,403,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Florence_(405),405,405,['Goths'],"['Western Roman Empire', 'Hunnic Empire']",Siege of Florence (405),['Florence'],12002,unknown,20002,35003,False,1
https://en.wikipedia.org/wiki/Battle_of_Faesulae_(406),406,406,"['Western Roman Empire', 'Huns', 'Goths']","['Goths', 'Vandals']",Battle of Faesulae (406),"['Fiesole', 'Italy']",unknown,12003,35001,20002,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),406,406,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ostia_(409),409,409,['Visigoths'],['Western Roman Empire'],Battle of Ostia (409),"['Ostia', 'Italy']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),409,409,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Florence_(405),409,409,['Goths'],"['Western Roman Empire', 'Hunnic Empire']",Siege of Florence (405),['Florence'],12002,unknown,20002,35003,False,1
https://en.wikipedia.org/wiki/Sack_of_Rome_(410),410,410,['Western Roman Empire'],['Visigoths'],Sack of Rome (410),['Rome'],unknown,unknown,unknown,40001,False,1
https://en.wikipedia.org/wiki/Siege_of_Massilia_(413),413,413,['Visigoths'],['Western Roman Empire'],Siege of Massilia (413),"['Massilia', 'Gallia Narbonensis']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_the_Nervasos_Mountains,419,419,"['Western Roman Empire', 'Suebi']","['Vandals', 'Alans']",Battle of the Nervasos Mountains,"['Province of León', 'Spain']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Arles_(425),425,425,['Visigoths'],"['Western Roman Empire', 'Huns']",Siege of Arles (425),"['Viennensis', 'Arles', 'France']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_M%C3%A9rida_(428),428,428,['Suebi'],['Vandals'],Battle of Mérida (428),['Emerita Augusta'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Hippo_Regius,431,431,['Vandals'],['Western Roman Empire'],Siege of Hippo Regius,"['Hippo Regius', 'Africa', 'Western Roman Empire', 'Annaba', 'Algeria']",unknown,unknown,35001,20002,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),431,431,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ravenna_(432),432,432,none,none,Battle of Rimini (432),"['Rimini', 'Italy']",unknown,unknown,7000,7000,False,1
https://en.wikipedia.org/wiki/Battle_of_Narbonne_(436),436,436,"['Western Roman Empire', 'Huns']",['Visigoths'],Battle of Narbonne (436),"['Narbonne', 'Gaul']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Carthage_(439),439,439,['Vandals'],['Western Roman Empire'],Capture of Carthage (439),"['Carthage', 'Africa']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),439,439,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_the_Utus,447,447,['Hunnic Empire'],['Eastern Roman Empire'],Battle of the Utus,"['Vit', 'Bulgaria']",unknown,unknown,unknown,3,False,1
https://en.wikipedia.org/wiki/Battle_of_Finnsburg,450,450,"['Frisians', 'Jutes']",['Danish'],Battle of Finnsburg,"['Frisia', '[1]']",unknown,unknown,unknown,60,False,1
https://en.wikipedia.org/wiki/Battle_of_Avarayr,451,451,['Sasanian Empire'],['Armenians'],Battle of Avarayr,"['Avarayr Plain', 'Artaz', 'Vaspurakan', 'Greater Armenia', 'Chors', 'Chaypareh County', 'West Azarbaijan Province']",4,4,560017,66007,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),451,451,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Sack_of_Aquileia,452,452,['Hun Confederation'],['Western Roman Empire'],Sack of Aquileia,['Aquileia'],unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Nedao,454,454,"['Gepids', 'Heruli', 'Rugii', 'Scirii', 'Suebi']","['Huns', 'Alani']",Battle of Nedao,['Pannonia'],unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Aylesford,455,455,['Anglo-Saxons'],['Britons'],Battle of Aylesford,"['Aylesford', 'Kent']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),455,455,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Campi_Cannini,456,456,['Alemanni'],['Western Roman Empire'],Battle of Campi Cannini,"['Lake Maggiore', 'Italy']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),456,456,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Garigliano_(457),457,457,['Vandals'],['Western Roman Empire'],Battle of Garigliano (457),"['Campania', 'Italy']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),457,457,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Toulouse_(458),458,458,['Visigoths'],['Western Roman Empire'],Battle of Toulouse (458),"['Gallia Narbonensis', 'Toulouse', 'France']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),458,458,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Cartagena_(461),461,461,['Vandals'],['Western Roman Empire'],Battle of Cartagena (461),"['[1]', '[3]', '[6]', '[8]', 'Santa Pola', 'Spain']",unknown,unknown,unknown,319,False,1
https://en.wikipedia.org/wiki/Battle_of_Orleans_(463),463,463,"['Alans', 'Salian Franks', 'Kingdom of Soissons']",['Visigoths'],Battle of Orleans (463),['Orléans'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Bergamo,464,464,['Alans'],['Western Roman Empire'],Battle of Bergamo,"['Bergamo', 'Italy']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Wippedesfleot,466,466,['Anglo-Saxons'],['Britons'],Battle of Wippedesfleot,"['Ebbsfleet', 'Kent']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Cape_Bon_(468),468,468,['Vandal Kingdom'],"['Eastern Roman Empire', 'Western Roman Empire']",Battle of Cape Bon (468),"['Vandalia', 'Cape Bon', 'Tunisia']",unknown,10101,unknown,151113,False,1
https://en.wikipedia.org/wiki/Battle_of_D%C3%A9ols,469,469,"['Bretons', 'Gallo-Romans']",['Visigoths'],Battle of Déols,"['Déols', 'Gaul']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Siege_of_Rome_(472),472,472,"['Ricimer', 'Burgundians']",['Western Roman Empire'],Siege of Rome (472),"['Rome', 'Italy']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Ravenna_(476),476,476,['Western Roman Empire'],"['foederati', 'Heruli', 'Scirii', 'Turcilingi']",Battle of Ravenna (476),"['Ravenna', 'Italia']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Herat_(484),484,484,['Hephthalite Empire'],['Sasanian Empire'],Hephthalite–Sasanian War of 484,['Balkh'],unknown,1,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mercredesburne,485,485,['South Britons'],['South Saxons'],Battle of Mercredesburne,[],unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Soissons_(486),486,486,['Kingdom of Soissons'],"['Salian Franks', 'Tournai', 'Cambrai']",Battle of Soissons (486),"['Soissons', 'Aisne']",unknown,unknown,6000,6001,False,1
https://en.wikipedia.org/wiki/Battle_of_Isonzo_(489),489,489,"['Heruls', 'Scirians']","['Ostrogoths', 'Rugians']",Battle of Isonzo (489),"['Isonzo', 'Aquileia', 'Italy']",unknown,unknown,20000,10000,False,1
https://en.wikipedia.org/wiki/Battle_of_Verona_(402),489,489,['Western Roman Empire'],['Visigoths'],Battle of Verona (402),"['Verona', 'Italy']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Ravenna_(490-493),490,490,"['Ostrogoths', 'Rugii']","['Heruls', 'Scirians']",Siege of Ravenna (490–493),['Ravenna'],unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Cotyaeum,492,492,['Byzantine Empire'],['Isaurian'],Battle of Cotyaeum,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Tolbiac,496,496,['Franks'],['Alamanni'],Battle of Tolbiac,"['Zülpich', 'North Rhine-Westphalia']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Mons_Badonicus,500,500,"['Romano-Britons', 'Celtic Britons']",['Anglo-Saxons'],Battle of Badon,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Theodosiopolis,502,502,['Sassanid Empire'],['Byzantine Empire'],Siege of Theodosiopolis,['Theodosiopolis'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Martyropolis_(502),502,502,['Sassanid Empire'],['Byzantine Empire'],Siege of Martyropolis (502),['Martyropolis'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Amida_(502-503),502-503,502-503,['Sasanian Empire'],['Byzantine Empire'],Siege of Amida (502–503),['Amida'],unknown,80001,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Vouill%C3%A9,507,507,['Kingdom of the Franks'],['Kingdom of the Visigoths'],Battle of Vouillé,"['Vouillé, Vienne']",-1,-1,-1,-1,False,1
