https://en.wikipedia.org/wiki/Battle_of_Mount_Zemaraim,913 BC,913 BC,['Kingdom of Judah'],['Kingdom of Israel'],Battle of Mount Zemaraim,['Jerusalem'],unknown,500000,400000,800000,False,1
https://en.wikipedia.org/wiki/Battle_of_Suru,878 BC,878 BC,none,none,Battle of Suru,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Karkar,853 BC,853 BC,['Neo-Assyrian Empire'],"['Luwian Kingdom of Ḥamā', 'Kingdom of Israel', 'Kingdom of Aram-Damascus', 'Kingdom of Ammon', 'Qedarite Kingdom of Arabia', 'Kingdom of Arwad', 'Syro-Hittite Kingdom of Quwê', 'Kingdom of Irqanata', 'Shianu']",Battle of Qarqar,"['Qarqur', 'Syria']",unknown,unknown,68203,123000,False,1
https://en.wikipedia.org/wiki/Battle_of_Dur-Papsukkal,814 BC,814 BC,['Neo-Assyrian Empire'],"['Babylonia', 'Elam', 'Aramean']",Battle of Dur-Papsukkal,[],unknown,14,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Mount_Li,771 BC,771 BC,none,none,Battle of Mount Li,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_the_Lacus_Curtius,c. 750 BC,c. 750 BC,"['Roman Kingdom', 'Foreign mercenaries (under Lucumo)']",['Sabines'],Battle of the Lacus Curtius,"['Lacus Curtius', 'Roman Forum', 'Rome']",-1,-1,20801,26001,False,1
https://en.wikipedia.org/wiki/Siege_of_Gezer_(c.733_BC),733 BC,733 BC,['Egypt'],['Philistines'],Gezer,['Israel'],unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Xuge,707 BC,707 BC,['State of Zheng'],"['Eastern Zhou Dynasty', 'State of Chen', 'State of Cai', 'State of Wey']",Battle of Xuge,"['Changge', 'Henan Province']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Azekah,701 BC,701 BC,['Neo-Assyrian Empire'],['Kingdom of Judah'],Siege of Azekah,"['Azekah', 'Israel']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Enmerkar_and_the_Lord_of_Aratta,701 BC,701 BC,none,none,Enmerkar and the Lord of Aratta,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Aga_of_Kish,701 BC,701 BC,none,none,Aga of Kish,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/25th_century_BC,701 BC,701 BC,none,none,25th century BC,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Diyala_River,693 BC,693 BC,"['Elamites', 'Babylonia', 'Ellipi']",['Assyria'],Battle of Diyala River,"['Nippur', 'Diyala River']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Halule,691 BC,691 BC,"['Babylonians', 'Chaldeans', 'Aramaeans', 'Babylonia', 'Elamites', 'Zagros tribes', 'Persians']",['Assyria'],Battle of Halule,['Halule'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Siege_of_Babylon,689 BC,689 BC,none,none,Siege of Babylon,[],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Deres,685 BC,685 BC,['Messenia'],['Sparta'],Battle of Deres,['Messenia'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Changshao,684 BC,684 BC,['State of Qi'],['State of Lu'],Battle of Changshao,"['Laiwu', 'Shandong province']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_the_Great_Foss,682 BC,682 BC,"['Messenia', 'Arcadia']",['Sparta'],Battle of the Great Foss,['Peloponnesus'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Hysiae_(669_BC),669 BC,669 BC,['Sparta'],['Argos'],Battle of Hysiae (c.669 BC),"['Hysiae, Argolis']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Sack_of_Thebes,663 BC,663 BC,['Neo-Assyrian Empire'],['Kushite Egypt'],Sack of Thebes,"['Thebes, Egypt']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Ulai,653 BC,653 BC,['Neo-Assyrian Empire'],['Elam'],Battle of Ulai,['Karkheh River'],-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Battle_of_Susa,647 BC,647 BC,['Assyria'],['Elam'],Battle of Susa,"['Mesopotamia', 'Elam']",unknown,unknown,unknown,unknown,False,1
https://en.wikipedia.org/wiki/Battle_of_Loulin,645 BC,645 BC,"['Xu', 'Qi', 'Lu', 'Song', 'Chen', 'Wey', 'Zheng', 'Cao', 'Xǔ', '[a]']",['Chu'],Battle of Loulin,"['Fengyang County', 'Anhui', '[1]']",-1,-1,-1,-1,False,1
https://en.wikipedia.org/wiki/Fall_of_Ashdod,635 BC,635 BC,['Twenty-sixth dynasty of Egypt'],['Neo-Assyrian empire'],Fall of Ashdod,"['Ashdod', 'Neo-Assyrian Empire', 'Southern Levant']",unknown,unknown,unknown,unknown,False,1
